accuracy,loss,val_accuracy,val_loss,learning_rate
0.7939376831054688,0.5377596020698547,0.7943301796913147,0.4694349467754364,0.0010000000474974513
0.8758342862129211,0.3522857427597046,0.8843802213668823,0.3073134422302246,0.0010000000474974513
0.8844549655914307,0.31222859025001526,0.9216231107711792,0.23417122662067413,0.0010000000474974513
0.8983592987060547,0.2817167341709137,0.947192907333374,0.19485101103782654,0.0010000000474974513
0.9021134376525879,0.27504849433898926,0.9521956443786621,0.18125973641872406,0.0010000000474974513
0.9082313776016235,0.2550571858882904,0.9555308222770691,0.16755680739879608,0.0010000000474974513
0.9041991233825684,0.26334816217422485,0.953863263130188,0.16415998339653015,0.0010000000474974513
0.913515031337738,0.24502627551555634,0.9594218730926514,0.15587936341762543,0.0010000000474974513
0.9129588603973389,0.24670056998729706,0.9616453647613525,0.15668009221553802,0.0010000000474974513
0.9160177707672119,0.23678578436374664,0.9622012376785278,0.15306828916072845,0.0010000000474974513
0.9194938540458679,0.2223837822675705,0.9705392122268677,0.14259393513202667,0.0010000000474974513
0.9071190357208252,0.2515775263309479,0.9672039747238159,0.14378471672534943,0.0010000000474974513
0.9182425141334534,0.2303321212530136,0.9677598476409912,0.1418507993221283,0.0010000000474974513
0.9246385097503662,0.2145053893327713,0.9683157205581665,0.13842634856700897,0.0010000000474974513
0.9211624264717102,0.2156868427991867,0.9722067713737488,0.1354580819606781,0.0010000000474974513
0.9218575954437256,0.22087636590003967,0.9738743901252747,0.13291054964065552,0.0010000000474974513
0.9263070225715637,0.20908227562904358,0.9710950255393982,0.13155962526798248,0.0010000000474974513
0.9224137663841248,0.2196536809206009,0.9710950255393982,0.13364647328853607,0.0010000000474974513
0.9217185974121094,0.22267137467861176,0.9705392122268677,0.1340252012014389,0.0010000000474974513
0.9142102599143982,0.235767662525177,0.9727626442909241,0.13555431365966797,0.0010000000474974513
0.9238042235374451,0.2162133902311325,0.9716508984565735,0.13851605355739594,0.0005000000237487257
0.9249165654182434,0.2069808542728424,0.9722067713737488,0.13352666795253754,0.0005000000237487257
